item,itemLabel,SECcode,LSGcode,LGDcode
http://www.wikidata.org/entity/Q13114100,Meenadom Grama Panchayat,G05050,G050706,221413
http://www.wikidata.org/entity/Q13114277,Munroethuruth Grama Panchayat,G02047,G020705,221319
http://www.wikidata.org/entity/Q13112966,Nedumpana Grama Panchayat,G02057,G020905,221326
http://www.wikidata.org/entity/Q13110823,Ottasekharamangalam Grama Panchayat,G01012,G010903,221798
http://www.wikidata.org/entity/Q13110927,Kadinamkulam Grama Panchayat,G01028,G010702,221764
http://www.wikidata.org/entity/Q13110882,Kanjikuzhy Grama Panchayat,G04013,G040302,221007
http://www.wikidata.org/entity/Q13110889,Kadakkarappally Grama Panchayat,G04016,G040305,221024
http://www.wikidata.org/entity/Q13113083,Panayam Grama Panchayat,G02042,G020706,221320
http://www.wikidata.org/entity/Q100132209,Vellanad Grama Panchayat,G01033,G010503,221822
http://www.wikidata.org/entity/Q13111374,Kuttoor Grama Panchayat,G03009,G030202,221738
http://www.wikidata.org/entity/Q16136503,Thannithodu Grama Panchayat,G03040,G030606,221715
http://www.wikidata.org/entity/Q4832552,Azhoor Grama Panchayat,G01031,G010705,221757
http://www.wikidata.org/entity/Q16134478,Manamboor Grama Panchayat,G01072,G010104,221813
http://www.wikidata.org/entity/Q4802333,Aruvikkara Grama Panchayat,G01041,G010602,221776
http://www.wikidata.org/entity/Q13114799,Veliyanad Grama Panchayat,G04038,G040702,221040
http://www.wikidata.org/entity/Q16134232,Kallikkadu Grama Panchayat,G01013,G010905,221795
http://www.wikidata.org/entity/Q13111032,Karuvatta Grama Panchayat,G04050,G040904,221001
http://www.wikidata.org/entity/Q13114142,Mudakkal Grama Panchayat,G01065,G010305,221761
http://www.wikidata.org/entity/Q13114174,Mulavukad Grama Panchayat,G07032,G070603,221120
http://www.wikidata.org/entity/Q13111884,Champakulam Grama Panchayat,G04029,G040605,220982
http://www.wikidata.org/entity/Q13114232,Melila Grama Panchayat,G02016,G020303,221358
http://www.wikidata.org/entity/Q100000694,Vembayam Grama Panchayat,G01042,G010605,221779
http://www.wikidata.org/entity/Q13110464,Elampalloor Grama Panchayat,G02054,G020904,221337
http://www.wikidata.org/entity/Q16134526,Kanjiramkulam Grama Panchayat,G01016,G011002,221752
http://www.wikidata.org/entity/Q100981794,Kunnathukal Grama Panchayat,G01008,G010906,221797
http://www.wikidata.org/entity/Q13110519,Upputhara Grama Panchayat,G06036,G060602,221161
http://www.wikidata.org/entity/Q16134868,Amboori Grama Panchayat,G01014,G010908,221793
http://www.wikidata.org/entity/Q13110115,Aryankavu Grama Panchayat,G02033,G020508,221297
http://www.wikidata.org/entity/Q13110996,Karavaloor Grama Panchayat,G02031,G020506,221300
http://www.wikidata.org/entity/Q100982781,Alappuzha District Panchayat,D04001,D040000,509
http://www.wikidata.org/entity/Q13111651,Kollayil Grama Panchayat,G01009,G010902,221796
http://www.wikidata.org/entity/Q16134010,Kalliyoor Grama Panchayat,G01026,G010807,221781
http://www.wikidata.org/entity/Q100982782,Idukki District Panchayat,D06001,D060000,511
http://www.wikidata.org/entity/Q25588016,Kozhikode District Panchayat,D11001,D110000,516
http://www.wikidata.org/entity/Q6442838,Kulathoor Grama Panchayat,G01003,G011103,221789
http://www.wikidata.org/entity/Q13111887,Chavara Grama Panchayat,G02049,G020802,221312
http://www.wikidata.org/entity/Q13112527,Thiruvanvandoor Grama Panchayat,G04044,G040808,220995
http://www.wikidata.org/entity/Q13112398,Thalappalam Grama Panchayat,G05041,G050606,221370
http://www.wikidata.org/entity/Q31696236,Chenkal Grama Panchayat,G01004,G011101,221787
http://www.wikidata.org/entity/Q13112874,Naranammoozhy Grama Panchayat,G03033,G030508,221743
http://www.wikidata.org/entity/Q13110532,Ummannoor Grama Panchayat,G02014,G020301,221361
http://www.wikidata.org/entity/Q13110433,Eraviperoor Grama Panchayat,G03014,G030302,221705
http://www.wikidata.org/entity/Q13111961,Chirayinkeezhu Grama Panchayat,G01063,G010303,221758
http://www.wikidata.org/entity/Q31696274,Puliyoor Grama Panchayat,G04041,G040805,220994
http://www.wikidata.org/entity/Q16134965,Ayroor Grama Panchayat,G03013,G030301,221704
http://www.wikidata.org/entity/Q16133749,Chunakara Grama Panchayat,G04060,G041105,220977
http://www.wikidata.org/entity/Q16135247,Kollam District Panchayat,D02001,D020000,514
http://www.wikidata.org/entity/Q13113094,Panavoor Grama Panchayat,G01044,G010603,221778
http://www.wikidata.org/entity/Q6990063,Nellanad Grama Panchayat,G01047,G010402,221804
http://www.wikidata.org/entity/Q13113403,Poothakulam Grama Panchayat,G02066,G021001,221327
http://www.wikidata.org/entity/Q16133802,Pandanad Grama Panchayat,G04043,G040807,220993
http://www.wikidata.org/entity/Q99999599,Venganoor Grama Panchayat,G01019,G011005,221755
http://www.wikidata.org/entity/Q13112079,Cherthala South Grama Panchayat,G04014,G040304,221006
http://www.wikidata.org/entity/Q16134616,Kattakada Grama Panchayat,G01032,G010508,221817
http://www.wikidata.org/entity/Q16136066,Perumkadavila Grama Panchayat,G01010,G010901,221799
http://www.wikidata.org/entity/Q16135199,Kottamkara Grama Panchayat,G02056,G020903,221338
http://www.wikidata.org/entity/Q13113367,Purakkad Grama Panchayat,G04026,G040501,220972
http://www.wikidata.org/entity/Q16136151,Nedumudi Grama Panchayat,G04032,G040604,220985
http://www.wikidata.org/entity/Q13113391,Pulimath Grama Panchayat,G01053,G010208,221774
http://www.wikidata.org/entity/Q13111412,Koottickal Grama Panchayat,G05065,G051103,221386
http://www.wikidata.org/entity/Q13113055,Pattazhi Grama Panchayat,G02024,G020405,221346
http://www.wikidata.org/entity/Q16136412,Kumily Grama Panchayat,G06049,G060802,221132
http://www.wikidata.org/entity/Q16136246,Mararikulam South Grama Panchayat,G04020,G040403,220975
http://www.wikidata.org/entity/Q16135528,Kizhakkambalam Grama Panchayat,G07026,G070503,221114
http://www.wikidata.org/entity/Q13113665,Budhanoor Grama Panchayat,G04042,G040806,220989
http://www.wikidata.org/entity/Q3525657,Kadakkavoor Grama Panchayat,G01066,G010306,221759
http://www.wikidata.org/entity/Q16135599,Malayinkeezh Grama Panchayat,G01023,G010804,221782
http://www.wikidata.org/entity/Q13112415,Thalayolaparambu Grama Panchayat,G05011,G050205,221382
http://www.wikidata.org/entity/Q13112446,Mavelikara Thamarakulam Grama Panchayat,G04064,G041104,220978
http://www.wikidata.org/entity/Q13112467,Thidanad Grama Panchayat,G05042,G050609,221371
http://www.wikidata.org/entity/Q13113765,Mangalapuram Grama Panchayat,G01029,G010703,221765
http://www.wikidata.org/entity/Q6406964,Kilimanoor Grama Panchayat,G01057,G010201,221768
http://www.wikidata.org/entity/Q13113378,Pullampara Grama Panchayat,G01048,G010403,221807
http://www.wikidata.org/entity/Q16136727,Pattanakkad Grama Panchayat,G04011,G040202,221027
http://www.wikidata.org/entity/Q13112027,Chemmaruthy Grama Panchayat,G01071,G010101,221809
http://www.wikidata.org/entity/Q16136848,Pramadom Grama Panchayat,G03037,G030603,221714
http://www.wikidata.org/entity/Q13112068,Cheranalloor Grama Panchayat,G07031,G070602,221054
http://www.wikidata.org/entity/Q16135856,Poovar Grama Panchayat,G01006,G011106,221791
http://www.wikidata.org/entity/Q13114166,Mulakulam Grama Panchayat,G05009,G050203,221380
http://www.wikidata.org/entity/Q13112936,Neendoor Grama Panchayat,G05013,G050305,221376
http://www.wikidata.org/entity/Q13111864,Chakkupallam Grama Panchayat,G06041,G060607,221157
http://www.wikidata.org/entity/Q13113173,Pangode Grama Panchayat,G01052,G010405,221805
http://www.wikidata.org/entity/Q16136995,Vithura Grama Panchayat,G01036,G010504,221823
http://www.wikidata.org/entity/Q16136135,Perumpalam Grama Panchayat,G04004,G040104,221033
http://www.wikidata.org/entity/Q13111988,Choornikkara Grama Panchayat,G07027,G070504,221111
http://www.wikidata.org/entity/Q13112048,Cheruthana Grama Panchayat,G04053,G040907,220997
http://www.wikidata.org/entity/Q6368156,Karakulam Grama Panchayat,G01040,G010604,221777
http://www.wikidata.org/entity/Q13113149,Pazhayakunnumel Grama Panchayat,G01056,G010202,221773
http://www.wikidata.org/entity/Q13112479,Thirupuram Grama Panchayat,G01005,G011105,221792
http://www.wikidata.org/entity/Q3595908,Cherunniyoor Grama Panchayat,G01068,G010106,221810
http://www.wikidata.org/entity/Q13114777,Vettoor Grama Panchayat,G01067,G010107,221815
http://www.wikidata.org/entity/Q16135616,Niranam Grama Panchayat,G03010,G030203,221740
http://www.wikidata.org/entity/Q13110375,Edamulackal Grama Panchayat,G02030,G020505,221298
http://www.wikidata.org/entity/Q13113914,Malayattoor Neeleswaram Grama Panchayat,G07017,G070308,221049
http://www.wikidata.org/entity/Q16137889,Pallickathodu Grama Panchayat,G05047,G050705,221414
http://www.wikidata.org/entity/Q13114497,VadavucodePuthencruz Grama Panchayat,G07050,G071003,221110
http://www.wikidata.org/entity/Q13114587,Varapuzha Grama Panchayat,G07007,G070202,221044
http://www.wikidata.org/entity/Q13110253,Arakuzha Grama Panchayat,G07078,G071402,221077
http://www.wikidata.org/entity/Q13110892,Kadanad Grama Panchayat,G05031,G050504,221391
http://www.wikidata.org/entity/Q13114771,Vengola Grama Panchayat,G07024,G070501,221116
http://www.wikidata.org/entity/Q13110885,IdukkiKanjikuzhy Grama Panchayat,G06029,G060501,221151
http://www.wikidata.org/entity/Q7042396,Njarackal Grama Panchayat,G07034,G070701,221122
http://www.wikidata.org/entity/Q13113202,Parakkadavu Grama Panchayat,G07073,G071304,221098
http://www.wikidata.org/entity/Q13110665,Edathala Grama Panchayat,G07028,G070505,221112
http://www.wikidata.org/entity/Q13111316,Kunnathoor Grama Panchayat,G02011,G020205,221351
http://www.wikidata.org/entity/Q16133986,Kallara Grama Panchayat,G01051,G010401,221801
http://www.wikidata.org/entity/Q13111242,Kidangoor Grama Panchayat,G05049,G050707,221418
http://www.wikidata.org/entity/Q16137839,Chittar Grama Panchayat,G03031,G030506,221742
http://www.wikidata.org/entity/Q16137672,Vettikavala Grama Panchayat,G02015,G020302,221362
http://www.wikidata.org/entity/Q16133703,Karunagappally Municipality,M02007,M020100,259707
http://www.wikidata.org/entity/Q13114892,Santhanpara Grama Panchayat,G06010,G060205,221141
http://www.wikidata.org/entity/Q13114750,Veeyapuram Grama Panchayat,G04054,G040908,221005
http://www.wikidata.org/entity/Q13111719,Koruthodu Grama Panchayat,G05067,G051107,239035
http://www.wikidata.org/entity/Q13114826,Vellavoor Grama Panchayat,G05059,G051004,221434
http://www.wikidata.org/entity/Q13114235,Melukavu Grama Panchayat,G05034,G050601,221364
http://www.wikidata.org/entity/Q16138010,West Eleri Grama Panchayat,G14031,G140506,221294
http://www.wikidata.org/entity/Q13114367,Rayamangalam Grama Panchayat,G07021,G070404,221060
http://www.wikidata.org/entity/Q16133814,Andoorkonam Grama Panchayat,G01027,G010701,221763
http://www.wikidata.org/entity/Q13115176,Senapathy Grama Panchayat,G06016,G060302,221168
http://www.wikidata.org/entity/Q20583377,Vandiperiyar Grama Panchayat,G06053,G060806,221135
http://www.wikidata.org/entity/Q16134968,Marangattupilly Grama Panchayat,G05021,G050402,221420
http://www.wikidata.org/entity/Q16134990,Aymanam Grama Panchayat,G05019,G050302,221372
http://www.wikidata.org/entity/Q13110692,Elikulam Grama Panchayat,G05044,G050702,221411
http://www.wikidata.org/entity/Q13111934,Chingoli Grama Panchayat,G04073,G041208,220998
http://www.wikidata.org/entity/Q13112020,Chennithala-Thripperumthura Grama Panchayat,G04057,G041003,221011
http://www.wikidata.org/entity/Q4750732,Anad Grama Panchayat,G01043,G010601,221775
http://www.wikidata.org/entity/Q16133776,Karukutty Grama Panchayat,G07013,G070304,221048
http://www.wikidata.org/entity/Q13114514,Vattavada Grama Panchayat,G06009,G060204,221142
http://www.wikidata.org/entity/Q3091551,Edathua Grama Panchayath,G04027,G040602,220983
http://www.wikidata.org/entity/Q98751775,Mookkannur Grama Panchayat,G07010,G070301,221051
http://www.wikidata.org/entity/Q13111041,Kalanjoor Grama Panchayat,G03052,G030805,221734
http://www.wikidata.org/entity/Q13110894,Kadaplamattom Grama Panchayat,G05020,G050401,221416
http://www.wikidata.org/entity/Q16135334,Kozhuvanal Grama Panchayat,G05030,G050503,221393
http://www.wikidata.org/entity/Q13114352,Rajakkad Grama Panchayat,G06018,G060304,221166
http://www.wikidata.org/entity/Q13109838,Anchal Grama Panchayat,G02029,G020504,221296
http://www.wikidata.org/entity/Q16137998,Velloor Grama Panchayat,G05012,G050206,221383
http://www.wikidata.org/entity/Q20581913,Poruvazhy Grama Panchayat,G02010,G020204,221352
http://www.wikidata.org/entity/Q13112000,Chengannur Municipality,M04013,M040100,252249
http://www.wikidata.org/entity/Q13111273,Keezhmad Grama Panchayat,G07029,G070506,221113
http://www.wikidata.org/entity/Q16133651,Karimannoor Grama Panchayat,G06027,G060406,221144
http://www.wikidata.org/entity/Q13110863,Omalloor Grama Panchayat,G03019,G030401,221703
http://www.wikidata.org/entity/Q16135238,Karode Grama Panchayat,G01002,G011102,221788
http://www.wikidata.org/entity/Q13112723,Devikulangara Grama Panchayat,G04072,G041207,221017
http://www.wikidata.org/entity/Q20582985,Munnar Grama Panchayat,G06007,G060202,221140
http://www.wikidata.org/entity/Q20582873,Mudakuzha Grama Panchayat,G07019,G070402,221058
http://www.wikidata.org/entity/Q16137846,Mylom Grama Panchayat,G02017,G020304,221359
http://www.wikidata.org/entity/Q20582342,Manarcadu Grama Panchayat,G05048,G050708,221405
http://www.wikidata.org/entity/Q20580595,Nedumkunnam Grama Panchayat,G05058,G051003,221432
http://www.wikidata.org/entity/Q13112414,Thalayazham Grama Panchayat,G05001,G050101,221426
http://www.wikidata.org/entity/Q13114797,Veliyannoor Grama Panchayat,G05023,G050404,221423
http://www.wikidata.org/entity/Q16133821,Thycattussery Grama Panchayat,G04005,G040105,221034
http://www.wikidata.org/entity/Q16135704,Kizhuvilam Grama Panchayat,G01064,G010304,221760
http://www.wikidata.org/entity/Q16135654,Poonjar Grama Panchayat,G05036,G050603,221366
http://www.wikidata.org/entity/Q20575868,Kallara Grama Panchayat,G05008,G050202,221378
http://www.wikidata.org/entity/Q13112503,Thiruvalla Municipality,M03010,M030200,252251
http://www.wikidata.org/entity/Q6434294,Kottappady Grama Panchayat,G07063,G071104,221064
http://www.wikidata.org/entity/Q13112045,Cherukole Grama Panchayat,G03022,G030404,221698
http://www.wikidata.org/entity/Q4716145,Alangad Grama Panchayat,G07008,G070203,221041
http://www.wikidata.org/entity/Q16133763,Karukachal Grama Panchayat,G05061,G051006,221396
http://www.wikidata.org/entity/Q16133934,Vaikom Municipality,M05018,M050200,252236
http://www.wikidata.org/entity/Q7917110,Vathikudy Grama Panchayat,G06030,G060502,221154
http://www.wikidata.org/entity/Q31696267,Vazhoor Grama Panchayat,G05060,G051005,221433
http://www.wikidata.org/entity/Q20581148,Parathodu Grama Panchayat,G05068,G051106,221389
http://www.wikidata.org/entity/Q16133919,Pampady Grama Panchayat,G05046,G050704,221415
http://www.wikidata.org/entity/Q13113353,Puthenvelikkara Grama Panchayat,G07076,G071301,221099
http://www.wikidata.org/entity/Q13564448,Kadavallur Grama Panchayat,G08008,G080203,221845
http://www.wikidata.org/entity/Q20580773,Pathiyoor Grama Panchayat,G04066,G041201,221021
http://www.wikidata.org/entity/Q6798522,Mazhuvannoor Grama Panchayat,G07051,G071004,221107
http://www.wikidata.org/entity/Q13112516,Thiruvarppu Grama Panchayat,G05015,G050307,221408
http://www.wikidata.org/entity/Q7711580,Thazhakara Grama Panchayat,G04058,G041004,221014
http://www.wikidata.org/entity/Q13113894,Maravanthuruthu Grama Panchayat,G05003,G050103,221425
http://www.wikidata.org/entity/Q16134369,Manjalloor Grama Panchayat,G07082,G071407,221081
http://www.wikidata.org/entity/Q13113067,Pathanamthitta Municipality,M03009,M030300,252252
http://www.wikidata.org/entity/Q13111162,Kayamkulam Municipality,M04011,M040400,252248
http://www.wikidata.org/entity/Q13564541,Manimala Grama Panchayat,G05062,G051104,221387
http://www.wikidata.org/entity/Q5253115,Delampady Grama Panchayat,G14005,G140205,221269
http://www.wikidata.org/entity/Q13112024,Chenneerkara Grama Panchayat,G03020,G030402,221697
http://www.wikidata.org/entity/Q13111677,KodomBelur Grama Panchayat,G14026,G140502,221260
http://www.wikidata.org/entity/Q16137101,Muthukulam Grama Panchayat,G04069,G041204,221020
http://www.wikidata.org/entity/Q16137140,Krishnapuram Grama Panchayat,G04071,G041206,221019
http://www.wikidata.org/entity/Q13109891,Athirampuzha Grama Panchayat,G05017,G050303,221374
http://www.wikidata.org/entity/Q16135603,Keerampara Grama Panchayat,G07059,G071107,221063
http://www.wikidata.org/entity/Q3183192,Edava Grama Panchayat,G01069,G010102,221811
http://www.wikidata.org/entity/Q13114339,Rajakumary Grama Panchayat,G06021,G060307,221167
http://www.wikidata.org/entity/Q20581644,Poonjar Thekkekara Grama Panchayat,G05037,G050605,221367
http://www.wikidata.org/entity/Q13113324,Puthuppally Grama Panchayat,G05071,G050802,221407
http://www.wikidata.org/entity/Q16135151,Punnapra North Grama Panchayat,G04025,G040505,220970
http://www.wikidata.org/entity/Q13114130,Mundakayam Grama Panchayat,G05066,G051105,221388
http://www.wikidata.org/entity/Q13113674,Bedadka Grama Panchayat,G14006,G140206,221266
http://www.wikidata.org/entity/Q13112018,Chettikulangara Grama Panchayat,G04056,G041002,221012
http://www.wikidata.org/entity/Q13114195,Moonnilavu Grama Panchayat,G05035,G050602,221365
http://www.wikidata.org/entity/Q101206009,Balemoole,G14014003,,
http://www.wikidata.org/entity/Q101206011,Katukukke,G14014004,,
http://www.wikidata.org/entity/Q101206196,Banthad,G14019006,,
http://www.wikidata.org/entity/Q101206205,Aramanganam,G14019014,,
http://www.wikidata.org/entity/Q101206170,Pilankatta,G14020004,,
http://www.wikidata.org/entity/Q101206199,Puthariyadukkam,G14019008,,
http://www.wikidata.org/entity/Q101206550,Kannivayal,G14032009,,
http://www.wikidata.org/entity/Q101206545,Malankadavu,G14032006,,
http://www.wikidata.org/entity/Q101206551,Nallompuzha,G14032010,,
http://www.wikidata.org/entity/Q101206486,V V Nagar,G14034007,,
http://www.wikidata.org/entity/Q101206493,Vengat,G14034011,,
http://www.wikidata.org/entity/Q101206193,Perumbala,G14019003,,
http://www.wikidata.org/entity/Q101206174,Edneer,G14020008,,
http://www.wikidata.org/entity/Q101206017,Swarga,G14014006,,
http://www.wikidata.org/entity/Q101206188,Naimarmoola,G14020021,,
http://www.wikidata.org/entity/Q101206210,Melparamba,G14019018,,
http://www.wikidata.org/entity/Q101206194,Thalaklayi,G14019004,,
http://www.wikidata.org/entity/Q101206161,Adoor,G14005012,,
http://www.wikidata.org/entity/Q101206181,Cherkala,G14020014,,
http://www.wikidata.org/entity/Q101206176,Pady,G14020009,,
http://www.wikidata.org/entity/Q101206014,Shivagiri,G14014005,,
http://www.wikidata.org/entity/Q101206198,Thekkil,G14019007,,
http://www.wikidata.org/entity/Q101206006,Chawarkad,G14014002,,
http://www.wikidata.org/entity/Q101206172,Arladka,G14020006,,
http://www.wikidata.org/entity/Q101206153,Devaradka,G14005005,,
http://www.wikidata.org/entity/Q101206212,Kizhur,G14019020,,
http://www.wikidata.org/entity/Q101206171,Narampady,G14020005,,
http://www.wikidata.org/entity/Q101206151,Parappa,G14005003,,
http://www.wikidata.org/entity/Q101206164,Pallangod,G14005015,,
http://www.wikidata.org/entity/Q101206149,Ujjampady,G14005001,,
http://www.wikidata.org/entity/Q101206495,Kannamkai,G14034012,,
http://www.wikidata.org/entity/Q101206482,Mundakkandam,G14034005,,
http://www.wikidata.org/entity/Q101206475,Pathikkal,G14034002,,
http://www.wikidata.org/entity/Q101206537,Mandapam,G14032001,,
http://www.wikidata.org/entity/Q101206504,Orkkulam,G14034017,,
http://www.wikidata.org/entity/Q101206488,Ponmalam,G14034008,,
http://www.wikidata.org/entity/Q101206546,Palavayal,G14032007,,
http://www.wikidata.org/entity/Q101206502,Thuruthi,G14034016,,
http://www.wikidata.org/entity/Q101206543,Thayyeni,G14032005,,
